answer	question
hi i take it you mean faeces? and no its not normal but there must be a connection along the line to do with orgasms and being very relaxed for this to happen. it could be you have pelvic floor dysfunction and you would get these symptoms coordinated contracting and relaxing of these muscles controls bowel and bladder functions—the pelvic floor must relax to allow for urination bowel movements and in women sexual intercourse. kegels may help you but i think you should also see you gyno about your problem see what he/she says about it. hope this helps you. good luck	after sex all my fiancés come comes out of me when i stand up even happens after i rest. is this normal. it's really embarrassing. i can lay down for an hour after sex then when i stand it will all come out. we are getting married soon and i'm worried if this isn't normal we won't be able to fall pregnant. please help <negative_smiley>
i definitely would not stop taking the fosamax without first talking to your doctor. you don't want to risk having more problems with kidney stones. the side effects you list are not commonly associated with fosamax. of course everyone is different and it's possible that they're associated with the medicine but it could also be something else. there are also other medications similiar to fosamax that the doctor may want to try if it seems like the side effects are due to the medicine.	can i stop taking flomax once i have passed the kidney stone? . i am a generally healthy 52 year old female. last week i was diagnosed with a 5mm kidney stone and was prescribed flomax to help pass the stone. i passed it about three days later and now i am wondering if i can stop taking flomax. the urologist said i would have to take it for a month then have a follow up ultrasound to make sure i don't have hydronephrosis. i find the side effects i'm experiencing (headaches stuffy nose and nose bleed) very annoying.
you could be suffering of either thoracic vertebrae spondylosis and pinched nerve. and this can show in xray. or stomach /gastric ulcer or gerd. does eating aggrevates your symptoms? try not sleeping after eating and let 3hours minimum between last meal and sleeping time. try hot packs on your back and ointments that heat up the muscles	I have pain in my back and chest, the pain is unbearable and I can’t sleep?
"you are most likely causing retrograde ejaculation. in other words the semen is going into your urinary bladder instead of out of your penis. i do not recommend that you do this because it can create problems at a later time when you are trying to conceive. there is no harm with masturbating but do not do this ""squeeze"" technique any more."	weird mastrubating problem. i have been doing this for the last 4 years! . this may sound a bit weird but i have a bad habit of holding my sperms inside by squeezing my penis hard enough so that it doesn't come out. this first happened by mistake but later it seems i don't like cleaning up my ejaculation so i just do this again and again. i don't think this is safe or healthy. would you elaborate what kind of problems this can cause? also what happens to the sperm that doesn't come out? and if any damage has been caused till date how can i know & possibly cure it.
hi found you a link that could be it but it can go in a couple of different ways as you will see start just down on the right hand side. <link> just copy into google to the www. to open and read. hope this helps where doctors dare no tread? good luck	my husband has extreme heat sensation between his legs in groin area when lying down. . none of our doctors seem to be very interested when we tell them. however it is so severe he has to use a cold pack in order to sleep.
most vaccines is a small dose of the live virus. the way it works is it allows your body to build it's own antibodies so you may get symptoms when given the vaccine to fight off the virus now & in the future usually it will allow you to fight the illness while keeping you from getting the symptoms.	is it normal for the shingles vaccine to produce shingles-like symptoms? . my father received the shingles vaccine and less than 48 hours later is experiencing skin sensitivity below his belly button in a space of skin about six inches across. he says the friction of his clothes against the area bothers him when walking and it also hurts to bend forward. these issues seem to be reminiscent of shingles symptoms to me - is it possible that the vaccine could be the cause?
i have never found that the shingles vaccine aggravates tinnitus. i got mine. and my tinnitus did not change. it is just as bothersome and annoying as it was before the shingles vaccine. 4	do you recommend the shingles shot for someone who suffers from severe tinnitus? will the vaccine aggravate my tinnitus?
radiating heat around the sting sights as well as reddening and swelling is normal for the amount of stings and being from a wasp. as a fact you can have the same problems with just one sting. however you are doing the right things medically as you can. may take 3 days to a week for the heat and swelling to subside.	is it normal to have radiating heat from sting site after being stung by bee? . was stung by wasp yesterday 3 times and i am allergic. used epi pen benadryl 4 times since iced several times and used benadryl cream to sting sites. at initial time of sting experienced shortness of breath and wheezing which took almost 30 min to get under control with an inhaler too also experienced diarrhea and heavy sweating. sting sites are still swollen very red and painful had small red bumps as well as being about 6 in diameter. is there concern to have radiating heat from sites?
if you are having your breasts fondled and sucked on a lot this can produce milk leakage. just because we get older doesn't mean thatr our bodies don't react to stimuli.	why would my breast leak. i am 48yrs old and i had a partial hysterectomy 19 yrs ago i had a mammogram done 2 months ago which came back normal i have noticed that i have some leakage from one of my breasts should i be worried?
i'd start with an antihistamine. benadryl is an old reliable and usually tolerated pretty well. you may want to try the benadryl gel if you want to go straight to the source of the problem. this also helps avoid drowsiness.	how to relieve hives? . for adults
wash it out with saline or eyewash eat some food with vitamin a in it like carrots or sweet potatoes and check for redness. if it stays more than a day check with your doctor it could be a corneal abrasion or something like pinkeye.	what does it mean when it feels like you have rocks/dirt in your eye? . my left eye has been watering all day and feels like there is rocks/dirt in my eye and it is very sensitive to light. and i am 10 weeks pregnant is there anything i can do?
