label	text_a
0	It's useless chicken soup. It's hardly helpful. But the theory about bells is thought out. The market always has its own operating cycle, and the most dangerous thing is that you have a moment of doubt about the concept of the cycle.
0	I'm curious to see a group of readers who play the five stars in this book... and the psychology guide puts a video clip on Wang Mingyang, reading the novel and finding out that it's a little bit of a cynicism...
0	Can you talk a little more?
0	If I can't help it, it's a bad one. I don't usually score.
1	It is difficult to tell a book of 22 months and 10 kilometres of journeys in which beauty and hardship require me to put myself down to experience.
0	It's no big deal. Wenqing's dream.
0	I don't want this kind of story to be on TV.
0	It's too fake. It's like ice.
1	It's watery, it's watery, it's watery, it's all available, it's wastey.
1	It's written about our high school and university life in the 90s, especially in the upper secondary sector, and it's resonant, it's very real and it's very moving.
0	And look again, it's so embarrassing, it's so ugly, it's hard to read. It's an international joke to catch up with Aileen.
1	It's very easy to read, it's very easy to play, it's unfortunate for the lady to be weak, and it's a good thing to be close to her. And it's nice to be her sister! Hong Kong has a very small culture.
0	It's a very thick book, isn't it?
0	People who don't have character, of course, can't write anything good.
1	A lot of movies haven't been seen. So it's just a glimpse.
0	It's just a pen. It doesn't get much out of it.
1	There was a guy who wanted to do a movie.
1	We'll see the book after the movie.
0	Maybe I'm old enough to accept the incompetence of the plot, the language...
1	It's hard to read many times, it's slow, it's slow, it's easy to read, it's good to see, it's sad to feel the story. The author's work is deep, it's white-faced, it's written down on paper, it's a lot of intense scenes and emotions, but it's in a way that the princess's love, when she's asleep, it's beautiful, but it's the last time she's seen the story, and it's hard to see, even if you're a princess, to live in the royal shackles, to do what the princess should do, to love, or even to compromise her love. Perhaps the most exciting part of the story is that I've been able to love, to leave on the night when she's asleep, and to know how much love can be cut off, to see the princess's sleep face, and that's the last part of her life.
0	At the middle school teacher's level, there's no need to block him at his theoretical level, and it's recommended that the government pay to keep him as a symbol of democracy.
0	Friends recommend... reading the first two chapters, losing the battle, the level of YY in H... such a man is too familiar to see you in every post!
0	Ray!
1	It's solid.
1	This book is especially suitable for authors, not just writers, novelists, etc., to read and learn. In fact, as an audience of fans, I see a lot of things. At least I can keep my sober mind away from the scoundrels.
0	It's a disappointment. The writings in Ming Xiao Creek are the same. There's no progress at all. Language is still so childish. It's a terrible book.
1	In fact, in the advance of history, the author’s point of view is gradually recognized, and the logical sequence is clear. The British’s unique sense of humor is interesting, but the theme is still heavy “whatever the cost, it is worth as long as it guarantees that the world they expect will never be realized”.
1	The road to a desperate destiny.
0	The author's car sarcasm.
0	It's an interesting subject, but the author says a book and doesn't seem to say anything.
0	It's the usual language drama, as a youth novel, and it's the same as a woman's head. I don't have any sense of introspection in a man like me. It's the best movie in the original/film/net.
0	I can't.
0	Copying and selling copyrights.
1	Grab a touch of your touch, write it down, get a point of view, get a point of argument, and then you're gonna have an approximate prototype.
0	The author really learns Chinese? The whole story of bedmaking and killing is so boring that he can't see where love is, can't feel it, can't feel it, can't feel it, can't feel it, can't feel it, can't feel it, can't hurt it, can't write it. It's too childish.
0	I'm after it, Ray!
0	It's normal.
0	Translation is really a mess. It's probably the translator's deliberate attempt to imitate it, and there's a lot of sick sentences. Too many adjectives are omitted so that sometimes he doesn't know who he's talking about. There are a few mistakes, one where Alexander saves his father, says things in his own account, and one where he's talking about his father, but he's using a good name.
0	Almost couldn't read.
0	What do you like about him?
1	Great recommendation! That's a good novel.
1	Well, we're usually normal fools.
1	I stand before you for life and death, for good and for evil, and therefore for life. — Bible The Book of Judgment, 30:19.
1	Neither Ho Hsiao-hyun nor Chu should be missed.
0	Close to chatting.
1	It's always the desire to part.
1	It's a good book. It helps.
1	It's really sad to see it all... the sense of desolation in everyone's heart and the tiny, lonely pond inside everyone's heart.
1	Summer '07. One day, he went out to eat and drink, had a high drink, vomited and had a long time. Sleeping half-night, waking up at 3:00 a.m., couldn't sleep, so he picked up this long-saled book under the bookshelve. He liked Huang In-woo's great historical view.
0	I don't understand.
1	Rubber. Pistol.
0	It's no wonder it's not included in the Collection of Taiding. It's like writing on a title written by a high school student. Making such a thick copy is a fraud. Such a 100-page piece of writing is not worthy of such in-depth discussion.
1	Full of business history and common sense fully appreciate the lack of common sense of business.
1	Whatever the institutional analysis, this is a book of history, not of institutional economics.
0	He's so pretentious, he's got to say something. A short chapter says she doesn't want to believe it. She won't believe it. She doesn't want to think about it. She's tired and tired. She's got three seconds of silence. She's got a cold and heartache, and she's got three seconds to come. I don't think the author's words and pain in this novel. She's got mountains in her eyes, springs, ice, ink, water color, running light, moose, mackering, springs. And if they have a doge in their eyes, I won't be surprised.
0	It's a big recommendation, you son of a bitch. It stinks and it's long.
0	Three readings, giving up... and Napol's gonna cry when she sees it, and it's not Sherwood Anderson.
1	You don't have to say good books.
1	There's only that part of the book. There's only that part of the five stars.
1	Don't read Rusty.
0	What's in the last chapter... what's in every chapter...
1	It's a very good book, Inspector Chu of Istanbul.
0	The B4 is slashed and plasticized, and it's supported by the plain man's Hong Kong version!
1	The book prepared for the Society was read only in the sense of fear, fear and crisis, as if it had been written yesterday 20 years ago.
0	You said you wouldn't read that book.
1	It's getting better in the back! The first time Nietzsche's cured, the reader's cured.
0	Bullshit.
0	"Not as good as ""Brother."""
1	It's not easy.
0	Disappointment!
1	There's a warm side to the barbarous youth.
0	Is it supposed to be the way a textbook should be?
0	The translation can't be worse.
1	"""A road from home to home never ends."" From the small village on the coast of Ireland to New York, and then to the orphan train, and then to Minnesota, and then to Minnesota, Vivian's fate was so painful and so painful that he met those kind of nice people. The accident with the German boy allowed Vivian to relive and start a happy life, while the German child was killed again. When Vivian lost his beloved Vivian, he treated everything without giving up his whole heart and life without water, until Molly came along and changed the old Vivian of ninety-one years old, who was no longer alone in his late life, but began to embrace a changing society, learn online, start looking for the daughter of the year and feel warm and warm with his daughter!"
0	It's a pity you don't have any dry goods.
1	Because there's not much interest in what Geek's been looking for, and it's only now that it's too late, and it's too late to say anything about the '60s.
0	There is a dearth of language, so ancient novels are literal studies, and it is clear that some of the details written are modern and lack historical content.
0	The first family in Israel has a history.
0	Not very much of a notebook.
1	It's a one-year hiatus.
0	I'd love to, but Lee Myung-hye and the old man of the Year, who is too popular to be married, are so inexplicable to the coolness of the lily between my sister-in-law and Sanqing's other woman that it's not easy to write simply because it's a poetic language that can cover up the emptiness in the house, waste an epic story and a strong, high-strengthed character that doesn't say a word to the lady, and abandon it with determination.
1	Reason in the language structure (grammatical, logical, rhetorical) is mental unconscious (in Freud sense) rationality — which is the basis of Lacon’s theory, but, after all, it can only be a guess, and it is only a coincidence that it is the cause of some phenomena. This is what is called a transitional interpretation, which goes beyond human consciousness, and the interpretation of unconsciousness is, of course, only an “over” interpretation, but this excessive definition is questionable.
1	It's the one that says Martin's favorite.
0	Translation sucks.
0	Just look at the ancient part of history, the textbook narrative, there's no depth in many places. Little gains, like Song Dynasty, are richer than you think, and Ming Dynasty is clearer than you know.
0	It's easy to start with, and then it's dragging, and then it's three pages and then it's eating. And it's good to be eating, but the whole story is flat and white, and it's just a shake.
1	I was inspired by Professor To's sense of history and its deep weakness for the past, which has already taken place.
1	The script beats, and some other places are pretty good.
0	Huang In-woo's expression always gives me the feeling that, instead of being stunned, rhetorical, strong and strong... each time it comes to the key point of the principle, it suddenly slips away.
0	Can't understand the author's mind.
1	The mirrors are so cute, the images are easier to reach than the words.
0	It's easy. It's very normal.
0	Ha ha ha ha ha ha ha ha ha ha ha ha ha ha
1	It's more delicate than a movie.
0	That's stupid.
1	A good post-travel note, although not beautiful language, allows me to draw a picture of what he sees. Travel is a theme, not a walk.
1	I can't watch it anymore.
1	In my heart, hide one of you.
1	Let's get it up to date.
0	It's not dry.
1	Chinese, read it again. It's a matter of purpose. This time, it's a bit of a problem.
0	I can't accept a story like this. It's a hypothesis to read a novel, so it's too limited to something historical. It's better to look at Song's history.
0	It's really bad, but it's bad. It's bad for the writer to write. It's bad for the character to be white. It's boring for the character to write. It's boring for the story. It's hard for the writer to understand the original Confucian character, which has the power to enter the world and the virtues of the interior. It's too naive for the writer to look for a delicate balance in this tension and accomplish the twin goals of his career and reformation.
1	It's a book in the Grand Prix.
0	I can say that, although I can't stop spitting, I'd like to know what I said. Staying in Chengdu, found on the inn shelf.
1	"""The tension"" is particularly important in the larger context of the new wave, but it's so pale that you can only use a vanity to make a statement like that. How many people want to see it?"
0	Comrade Autumn Rain has studied the treatment of natural languages and has produced such a book using his own algorithms.
0	It's a bit of a waste of time.
