answer	question
is he passing stools? this is a very important question because if he is not then it may point to obstruction. another possibility is that there may be some mild gastritis. you can manage the pain by giving syrup colicaid (simethicone) 5 ml only when there is the pain. for the vomiting you can give syrup ondem (ondansetron) 5 ml thrice a day for three days. wait for at least half an hour after giving ondem to give any food or water. i would also prefer if you get him evaluated physically since he is lethargic you said. he may be dehydrated. for further information consult a paediatrician online --> <link>	Hi doctor,My son is 4 years old. He has had pain above his belly button for two days. He only wants to sleep. He is vomiting and not eating anything. Why? What is he suffering from?
"you will not get sick. the tea may be a bit ""stale"" and lack some flavor but it would not harmful."	can you get sick from drinking tea that is past the expiration date? . i have some tea bags that are past the expiration date. is it still safe to use them? can i get sick from using them? . they are still in the original sealed packaging.
a positive test result for double-stranded dna (dsdna) antibodies is consistent with the diagnosis of systemic lupus erythematosus. but it must be correlated with a person who has clinical signs and symptoms that suggest lupus. as the presence of this anti-dsdna can indicate a higher risk of lupus nephritis kidney inflammation that can occur with lupus. this test can confirm the need to closely monitor the kidneys. only half the people with lupus have a positive test so a positive or negative test does not mean you have lupus.	I am anemic and have abnormal dsdna antibodies, do I have Systemic Lupus Erythematosus (SLE)?
yes it not only kills bed bug eggs but also works as a repellent to keep them from laying new ones and keeps them from biting you at night. but it will not be your final solution to destroy bed bugs. there is a good article here. <link> hope it will help you for sweat dreams in future. dhammika abeygoonawardhane sri lanka	does rubbing alcohol work on bed bugs?
in my opinion you have 2 options first physical therapy in the form of gluteus maximus and adductors strengthening streching of quadriceps and ileopsoas muscle second option is total hip replacementboth options should allow you to continue running good luck	Arthrosis of the hip joint (coxarthrosis), are my running days over?
if you don't start remembering to take your oral contraceptive on a regular basis and you do not insist that your boyfriend use a condom for extra pregnancy (and std) insurance then it will only be a matter of time before you become pregnant. put your birth control pill with your toothbrush so you will remember.	i had sex with my boyfriend today before i took my pill and he came in me. am i pregnant? . i missed my birth control pill on friday but i took it on saturday. i always take my birth control at different times each day.
"losing weight can seem like an insurmountable task especially when you have a significant weight loss goal. but it turns out most people bounce around within a range of about 10 pounds -- depending on the time of year their motivation to exercise and whether a high school reunion is around the corner. it's amazing to consider what gaining or losing just 10 pounds can do for you. a study recently presented at the american heart association scientific sessions found that for every nine-pound increase in body weight a person's risk of developing heart disease increases by 50%. researchers tracked height weight and heart disease in over 80 000 people and found that there is a direct cause-and-effect link between body weight and this increase in heart disease. i find when advising patients about weight loss that there are several ways to encourage success. the first is to have a goal. not just a weight goal but also a health goal. we spend so much time concentrating on the ""how-to"" that we sometimes forget about the ""to-what. "" reducing your risk of heart disease is a tangible and realistic goal. second think small. when we feel motivated to lose weight and get healthy our enthusiasm sometimes gets the best of us and we set our goals to lofty heights. the problem with lofty goals is that it's harder to reach them and easier to get discouraged and go back to less healthy behaviors. so think small. ten pounds is a great place to start. you can tackle your first 10 pounds with these three easy weight-loss tips. 1. keep a food diary. record every single thing you eat and drink. studies show that this is the single most effective weight-loss tactic. the act of documenting your meals will impact the food choices you make. 2. weigh yourself -- every day. keeping close tabs on your weight will keep you honest with yourself and warn you if you start to stray in the wrong direction. 3. get enough sleep. research shows that sleeping more than seven hours each night is associated with weight loss. sleep tips your hunger hormones in the right direction."	can losing 10 pounds make a difference?
eating a bit of paper should not be an issue. babies of that age eat paper. and dog food. and dirt. and dead bugs. and just about anything they find on the floor. you have to watch them like a hawk.	my 7mo old may have eaten some paper. what should i look for?
if you are concerned that you may have hypothyroidism you should mention your symptoms to your physician. a simple blood test is the first step in the diagnosis. from there both you and your doctor can decide what the next steps should be. if treatment is warranted it is important for you to let your doctor know of any concerns or questions you have about the options available. remember that thyroid disease is very common and in good hands hypothyroidism is easily addressed and treated.	what should i do if i have hypothyroidism?
hi if you had protected sex you should be ok as long as you were not exposed to anything else again your ok. do hope this helps. good luck	i was treated for chlamydia but had protected sex one day after treatment. should i retest?
